filename;seq_match_pct;turns_ref;turns_hyp;role_flipped
T-1101-L-Tutor-1-1;76.8;154;96;False
T-1101-L-Tutor-1-4;82.61;135;95;False
T-1103-L-Lek1;61.11;275;121;False
T-1103-L-Lek2;67.53;255;130;False
T-1103-L-Tutor-1-1;75.24;131;79;False
T-1103-L-Tutor-1-4;85.57;111;83;False
T-1104-L-Lek1;63.7;199;93;False
T-1104-L-Lek2;74.2;295;174;False
T-1104-L-Tutor-1-1;63.64;255;119;False
T-1104-L-Tutor-1-4;75.84;221;135;False
T-1106-L-Lek1;80.64;595;402;True
T-1106-L-Lek2;74.59;459;273;False
T-1106-L-Tutor-1-1;40.1;311;78;False
T-1106-L-Tutor-1-4;74.0;269;158;False
T-1107-L-Lek1;76.03;393;241;False
T-1107-L-Lek2;74.14;477;281;True
T-1107-L-Tutor-1-1;73.2;123;71;False
T-1107-L-Tutor-1-4;86.15;111;84;False
T-1109-L-Lek1;63.78;472;221;False
T-1109-L-Lek2;72.8;505;289;True
T-1109-L-Tutor-1-1;84.91;183;135;False
T-1109-L-Tutor-1-4;61.18;329;145;False
T-1110-L-Lek1;62.14;335;151;False
T-1110-L-Lek2;62.16;275;124;False
T-1110-L-Tutor-1-1;66.44;193;96;False
T-1110-L-Tutor-1-4;68.75;189;99;False
T-1113-L-Lek1;64.61;241;115;False
T-1113-L-Lek2;70.75;137;75;False
T-1113-L-Tutor-1-1;93.75;102;90;False
T-1113-L-Tutor-1-4;88.48;121;96;False
T-1114-L-Lek1;72.79;381;218;False
T-1114-L-Lek2;69.71;385;206;True
T-1114-L-Tutor-1-1;37.37;161;37;False
T-1117-L-Lek1;76.08;259;159;False
T-1117-L-Lek2;74.27;303;179;False
T-1117-L-Tutor-1-1;74.59;153;91;False
T-1117-L-Tutor-1-4;54.55;136;51;False
T-1118-L-Lek1;61.96;479;215;False
T-1118-L-Lek2;47.55;295;92;False
T-1118-L-Tutor-1-1;34.29;116;24;False
T-1118-L-Tutor-1-4;53.33;165;60;False
T-1119-L-Lek1;76.41;351;217;True
T-1119-L-Lek2;64.05;225;106;False
T-1119-L-Tutor-1-1;64.65;134;64;False
T-1119-L-Tutor-1-4;65.95;187;92;False
T-1120-L-Lek1;72.36;224;127;False
T-1120-L-Lek2;73.9;273;160;False
T-1120-L-Tutor-1-1;67.36;128;65;False
T-1120-L-Tutor-1-4;93.68;101;89;False
T-1126-L-Lek1;76.43;325;201;False
T-1126-L-Lek2;89.95;241;197;False
T-1205-L-Lek1;77.54;409;259;True
T-1205-L-Lek2;72.65;461;263;False
T-1205-L-Tutor-1-1;75.47;132;80;False
T-1205-L-Tutor-1-4;69.6;341;182;False
T-1208-L-Lek1;95.56;153;140;False
T-1208-L-Lek2;99.29;139;141;False
T-1208-L-Tutor-1-4;46.95;163;50;False
T-1218-L-Lek1;78.4;273;176;False
T-1218-L-Lek2;50.2;379;127;False
T-1218-L-Tutor-1-1;59.84;171;73;False
T-1218-L-Tutor-1-4;58.39;194;80;False
T-1222-L-Lek1;43.62;147;41;False
T-1222-L-Lek2;84.27;217;158;False
T-1222-L-Tutor-1-1;86.21;99;75;False
T-1223-L-Lek1;67.76;281;144;False
T-1223-L-Lek2;64.53;317;151;False
T-1223-L-Tutor-1-4;7.73;174;7;False
T-1225-L-Lek1;59.83;403;172;False
T-1225-L-Lek2;77.17;269;169;False
T-1225-L-Tutor-1-1;41.62;137;36;False
T-1225-L-Tutor-1-4;73.84;217;127;False
T-2101-L-Lek1;53.65;341;125;False
T-2101-L-Lek2;73.32;311;180;False
T-2101-L-Tutor-1-1;79.64;201;133;False
T-2101-L-Tutor-1-4;68.19;259;134;False
T-2102-L-Lek1;64.4;299;142;False
T-2102-L-Lek2;85.94;361;272;True
T-2102-L-Tutor-1-1;77.14;215;135;False
T-2102-L-Tutor-1-4;86.7;115;88;False
T-2103-L-Lek1;81.18;221;151;False
T-2103-L-Lek2;61.4;447;198;False
T-2103-L-Tutor-1-1;73.38;195;113;False
T-2103-L-Tutor-1-4;88.03;145;114;False
T-2104-L-Lek1;74.89;411;246;False
T-2104-L-Lek2;71.6;373;208;False
T-2105-L-Lek1;62.74;687;314;False
T-2105-L-Lek2;49.6;561;185;False
T-2105-L-Tutor-1-1;65.16;298;144;False
T-2105-L-Tutor-1-4;61.64;303;135;False
T-2106-L-Lek1;35.04;113;24;False
T-2106-L-Lek2;87.03;135;104;False
T-2107-L-Lek1;96.28;223;207;True
T-2107-L-Lek2;81.94;183;127;False
T-2107-L-Tutor-1-1;88.31;277;219;False
T-2107-L-Tutor-1-4;65.5;269;131;False
T-2108-L-Lek1;77.05;375;235;True
T-2108-L-Lek2;75.29;265;160;False
T-2108-L-Tutor-1-1;68.03;161;83;False
T-2108-L-Tutor-1-4;97.53;83;79;False
T-2109-L-Lek1;81.23;231;158;False
T-2109-L-Lek2;95.47;173;158;False
T-2109-L-Tutor-1-1;66.36;143;71;False
T-2110-L-Lek1;38.23;237;56;False
T-2110-L-Lek2;68.9;371;195;False
T-2110-L-Tutor-1-1;82.04;243;169;False
T-2110-L-Tutor-1-4;12.69;251;17;False
T-2111-L-Lek1;45.9;235;70;False
T-2111-L-Lek2;58.35;301;124;False
T-2111-L-Tutor-1-1;72.62;107;61;False
T-2112-L-Lek1;62.03;129;58;False
T-2112-L-Lek2;58.72;243;101;False
T-2112-L-Tutor-1-4;70.88;235;129;False
T-2113-L-Lek1;79.84;155;103;False
T-2113-L-Lek2;69.75;155;83;False
T-2113-L-Tutor-1-1;82.95;127;90;False
T-2113-L-Tutor-1-4;92.7;147;127;False
T-2114-L-Lek1;71.07;439;242;False
T-2114-L-Lek2;73.79;301;176;False
T-2114-L-Tutor-1-1;81.6;193;133;False
T-2114-L-Tutor-1-4;69.8;291;156;False
T-2115-L-Lek1;95.24;253;230;False
T-2115-L-Lek2;91.81;251;213;True
T-2115-L-Tutor-1-1;84.12;197;143;False
T-2115-L-Tutor-1-4;81.78;279;193;False
T-2201-L-Lek1;57.38;261;105;False
T-2201-L-Lek2;48.11;221;70;False
T-2201-L-Tutor-1-1;71.17;248;137;False
T-2201-L-Tutor-1-4;14.73;239;19;False
T-2202-L-Lek1;70.47;125;68;False
T-2202-L-Lek2;44.13;219;62;False
T-2202-L-Tutor-1-1;80.39;122;82;False
T-2202-L-Tutor-1-4;94.9;103;93;False
T-2204-L-Lek1;80.35;341;229;False
T-2204-L-Lek2;94.15;169;190;False
T-2204-L-Tutor-1-1;86.13;197;149;False
T-2204-L-Tutor-1-4;95.94;141;130;False
T-2205-L-Lek1;69.83;343;184;False
T-2205-L-Lek2;79.0;265;173;False
T-2205-L-Tutor-1-1;77.02;297;186;False
T-2205-L-Tutor-1-4;76.81;247;154;False
AVERAGE;70.46;;;
